,alt,lat,lon,pitch,rol,yaw
0,2.41,32.9407598,35.1050658,17.81,0.02,343.45
1,3.55,32.9407911,35.105056,18.45,2.79,344.47
2,4.38,32.9408222,35.1050461,19.59,6.08,345.95
3,5.83,32.9408531,35.105036,20.25,10.23,347.54
4,7.33,32.9408839,35.1050264,20.54,11.41,348.8
5,9.1,32.9409144,35.1050177,20.69,8.04,347.84
6,10.67,32.9409452,35.1050099,21.26,4.89,345.54
7,12.04,32.9409764,35.1050023,21.52,2.98,343.4
8,13.33,32.9410077,35.1049947,22.31,3.62,342.32
9,14.57,32.9410387,35.1049868,22.92,-0.52,342.78
10,16.21,32.941069,35.1049789,22.15,-0.04,344.91
11,17.96,32.9410991,35.1049707,20.76,-0.16,348.21
12,20.62,32.9411296,35.104962,19.77,1.6,348.21
13,22.37,32.9411599,35.1049534,19.49,2.62,344.25
14,22.99,32.9411903,35.1049448,20.72,2.94,341.68
15,23.71,32.9412207,35.1049361,21.22,2.25,342.54
16,25.55,32.9412512,35.1049271,20.29,4.39,345.6
17,27.29,32.9412808,35.1049182,19.11,7.38,347.66
18,29.45,32.9413102,35.1049094,19.22,10.11,347.78
19,30.61,32.9413394,35.1049011,19.63,9.95,346.23
20,32.48,32.9413688,35.104893,20.18,9.22,343.96
21,33.66,32.9413987,35.1048851,20.83,9.72,342.06
22,34.65,32.9414291,35.1048777,21.43,10.79,341.7
23,35.78,32.9414595,35.1048706,22.07,11.84,343.01
24,36.99,32.9414896,35.1048638,21.99,12.91,345.69
25,38.4,32.9415194,35.1048578,21.48,16.25,348.01
26,40.17,32.9415494,35.1048531,20.74,22.04,349.72
27,41.31,32.9415794,35.1048495,20.44,25.43,350.28
28,42.86,32.9416094,35.104847,21.05,27.44,351.54
29,44.33,32.9416399,35.104846,21.5,28.49,353.28
30,45.77,32.9416708,35.1048468,21.47,27.33,355.4
31,46.84,32.9417013,35.104849,20.97,26.88,358.53
32,48.47,32.9417316,35.1048526,20.33,27.05,2.67
33,49.76,32.9417615,35.1048579,19.35,26.6,6.34
34,52.17,32.9417912,35.1048651,19.58,25.2,9.11
35,52.96,32.941821,35.1048749,20.0,22.91,9.89
36,54.39,32.9418502,35.1048865,20.18,21.05,9.88
37,56.25,32.941879,35.1048997,20.95,20.14,8.9
38,57.99,32.9419077,35.1049141,21.74,21.06,8.25
39,59.45,32.9419363,35.1049295,21.24,23.21,8.98
40,61.22,32.9419646,35.1049457,21.36,24.69,11.41
41,62.43,32.9419928,35.1049627,21.55,25.1,14.17
42,63.86,32.9420206,35.1049809,21.44,26.03,16.62
43,65.67,32.942048,35.1050008,20.42,28.39,18.11
44,66.97,32.9420748,35.1050222,18.58,31.37,18.76
45,68.54,32.9421015,35.1050451,17.2,33.16,19.22
46,70.1,32.9421278,35.1050692,16.53,34.4,21.0
47,71.3,32.9421539,35.1050942,16.71,34.64,24.06
48,71.82,32.9421794,35.1051206,17.46,38.34,28.53
49,72.68,32.942204,35.1051491,17.28,45.31,32.81
50,73.88,32.9422273,35.1051798,16.34,49.3,36.28
51,74.92,32.9422491,35.1052129,13.81,49.77,40.88
52,75.86,32.9422695,35.1052485,11.93,49.68,44.82
53,76.77,32.9422882,35.1052869,10.62,47.35,48.89
54,77.78,32.942305,35.1053278,10.86,46.21,51.75
55,78.55,32.94232,35.105371,11.84,45.21,54.0
56,79.07,32.9423326,35.1054165,12.6,43.14,56.34
57,79.68,32.9423429,35.1054641,12.34,42.74,58.64
58,80.52,32.9423509,35.1055136,11.12,44.44,62.34
59,81.18,32.9423572,35.1055646,10.49,45.36,66.64
60,81.72,32.9423614,35.1056169,9.62,45.89,70.64
61,82.15,32.9423632,35.1056704,8.89,45.92,74.2
62,82.23,32.9423628,35.1057249,8.67,45.98,77.69
63,82.91,32.9423596,35.1057805,8.19,45.96,80.82
64,83.41,32.9423532,35.105837,7.61,46.01,83.81
65,83.83,32.9423441,35.1058938,7.14,44.03,87.01
66,84.2,32.942332,35.1059507,6.07,45.49,90.72
67,84.89,32.9423178,35.1060078,5.58,48.04,94.9
68,84.36,32.9423016,35.106065,5.2,45.96,98.53
69,84.61,32.9422822,35.1061218,5.07,44.56,102.42
70,84.65,32.9422599,35.1061784,5.17,43.7,106.46
71,84.81,32.9422349,35.1062345,4.89,42.87,110.76
72,84.65,32.9422069,35.1062893,5.34,41.73,114.6
73,84.86,32.9421763,35.106343,6.16,40.82,117.64
74,85.02,32.942143,35.1063955,6.85,38.68,121.24
75,84.78,32.9421071,35.1064459,7.77,35.58,125.08
76,85.24,32.9420689,35.1064943,8.88,34.47,128.45
77,85.2,32.9420286,35.1065405,9.98,33.8,131.73
78,85.55,32.9419864,35.1065846,10.49,32.82,133.95
79,86.21,32.9419426,35.1066267,10.81,31.11,135.87
80,87.04,32.9418975,35.1066664,11.01,30.55,137.86
81,87.52,32.941851,35.1067043,10.48,29.4,140.79
82,88.35,32.9418036,35.1067408,9.77,26.1,144.07
83,89.0,32.9417555,35.1067755,9.68,26.3,146.41
84,89.94,32.9417066,35.1068085,10.73,27.99,147.41
85,90.47,32.9416571,35.1068403,12.17,27.7,147.25
86,90.87,32.941607,35.1068701,13.2,27.27,148.07
87,91.3,32.9415564,35.106898,12.83,24.93,150.52
88,91.97,32.9415051,35.1069241,12.08,20.66,154.33
89,92.87,32.9414534,35.1069484,11.53,19.48,156.97
90,94.16,32.9414014,35.1069714,11.9,18.17,157.82
91,94.88,32.9413494,35.1069931,10.22,17.38,156.53
